ch,gOSNR,OSNR
9,27.741103,30.342763
18,27.735508,30.332582
27,27.729920,30.322425
36,27.724339,30.312291
45,27.718765,30.302182
54,27.713199,30.292095
63,27.707639,30.282032
72,27.702087,30.271993
81,27.696541,30.261976
90,27.691003,30.251983
8,27.741725,30.343896
16,27.736751,30.334842
24,27.731782,30.325808
32,27.726819,30.316792
40,27.721861,30.307795
48,27.716909,30.298817
56,27.711962,30.289857
64,27.707022,30.280916
72,27.702087,30.271993
80,27.697157,30.263088
88,27.692233,30.254201
7,27.742348,30.345029
14,27.737994,30.337104
21,27.733645,30.329194
28,27.729299,30.321298
35,27.724959,30.313416
42,27.720622,30.305549
49,27.716290,30.297696
56,27.711962,30.289857
63,27.707639,30.282032
70,27.703320,30.274222
77,27.699005,30.266425
84,27.694694,30.258642
6,27.742970,30.346162
12,27.739237,30.339367
18,27.735508,30.332582
24,27.731782,30.325808
30,27.728059,30.319044
36,27.724339,30.312291
42,27.720622,30.305549
48,27.716909,30.298817
54,27.713199,30.292095
60,27.709491,30.285384
66,27.705787,30.278683
72,27.702087,30.271993
78,27.698389,30.265312
6,27.742970,30.346162
12,27.739237,30.339367
18,27.735508,30.332582
24,27.731782,30.325808
30,27.728059,30.319044
36,27.724339,30.312291
42,27.720622,30.305549
48,27.716909,30.298817
54,27.713199,30.292095
60,27.709491,30.285384
66,27.705787,30.278683
72,27.702087,30.271993
78,27.698389,30.265312
84,27.694694,30.258642
5,27.743592,30.347295
10,27.740481,30.341630
15,27.737372,30.335973
20,27.734266,30.330323
25,27.731161,30.324680
30,27.728059,30.319044
35,27.724959,30.313416
40,27.721861,30.307795
45,27.718765,30.302182
50,27.715672,30.296575
55,27.712580,30.290976
60,27.709491,30.285384
65,27.706405,30.279799
70,27.703320,30.274222
75,27.700237,30.268651
80,27.697157,30.263088
5,27.743592,30.347295
10,27.740481,30.341630
15,27.737372,30.335973
20,27.734266,30.330323
25,27.731161,30.324680
30,27.728059,30.319044
35,27.724959,30.313416
40,27.721861,30.307795
45,27.718765,30.302182
50,27.715672,30.296575
55,27.712580,30.290976
60,27.709491,30.285384
65,27.706405,30.279799
70,27.703320,30.274222
75,27.700237,30.268651
80,27.697157,30.263088
85,27.694079,30.257532
5,27.743592,30.347295
10,27.740481,30.341630
15,27.737372,30.335973
20,27.734266,30.330323
25,27.731161,30.324680
30,27.728059,30.319044
35,27.724959,30.313416
40,27.721861,30.307795
45,27.718765,30.302182
50,27.715672,30.296575
55,27.712580,30.290976
60,27.709491,30.285384
65,27.706405,30.279799
70,27.703320,30.274222
75,27.700237,30.268651
80,27.697157,30.263088
85,27.694079,30.257532
90,27.691003,30.251983
4,27.744215,30.348429
8,27.741725,30.343896
12,27.739237,30.339367
16,27.736751,30.334842
20,27.734266,30.330323
24,27.731782,30.325808
28,27.729299,30.321298
32,27.726819,30.316792
36,27.724339,30.312291
40,27.721861,30.307795
44,27.719384,30.303304
48,27.716909,30.298817
52,27.714435,30.294335
56,27.711962,30.289857
60,27.709491,30.285384
64,27.707022,30.280916
68,27.704553,30.276452
72,27.702087,30.271993
76,27.699621,30.267538
4,27.744215,30.348429
8,27.741725,30.343896
12,27.739237,30.339367
16,27.736751,30.334842
20,27.734266,30.330323
24,27.731782,30.325808
28,27.729299,30.321298
32,27.726819,30.316792
36,27.724339,30.312291
40,27.721861,30.307795
44,27.719384,30.303304
48,27.716909,30.298817
52,27.714435,30.294335
56,27.711962,30.289857
60,27.709491,30.285384
64,27.707022,30.280916
68,27.704553,30.276452
72,27.702087,30.271993
76,27.699621,30.267538
80,27.697157,30.263088
4,27.744215,30.348429
8,27.741725,30.343896
12,27.739237,30.339367
16,27.736751,30.334842
20,27.734266,30.330323
24,27.731782,30.325808
28,27.729299,30.321298
32,27.726819,30.316792
36,27.724339,30.312291
40,27.721861,30.307795
44,27.719384,30.303304
48,27.716909,30.298817
52,27.714435,30.294335
56,27.711962,30.289857
60,27.709491,30.285384
64,27.707022,30.280916
68,27.704553,30.276452
72,27.702087,30.271993
76,27.699621,30.267538
80,27.697157,30.263088
84,27.694694,30.258642
4,27.744215,30.348429
8,27.741725,30.343896
12,27.739237,30.339367
16,27.736751,30.334842
20,27.734266,30.330323
24,27.731782,30.325808
28,27.729299,30.321298
32,27.726819,30.316792
36,27.724339,30.312291
40,27.721861,30.307795
44,27.719384,30.303304
48,27.716909,30.298817
52,27.714435,30.294335
56,27.711962,30.289857
60,27.709491,30.285384
64,27.707022,30.280916
68,27.704553,30.276452
72,27.702087,30.271993
76,27.699621,30.267538
80,27.697157,30.263088
84,27.694694,30.258642
88,27.692233,30.254201
3,27.744838,30.349563
6,27.742970,30.346162
9,27.741103,30.342763
12,27.739237,30.339367
15,27.737372,30.335973
18,27.735508,30.332582
21,27.733645,30.329194
24,27.731782,30.325808
27,27.729920,30.322425
30,27.728059,30.319044
33,27.726198,30.315667
36,27.724339,30.312291
39,27.722480,30.308919
42,27.720622,30.305549
45,27.718765,30.302182
48,27.716909,30.298817
51,27.715053,30.295455
54,27.713199,30.292095
57,27.711345,30.288738
60,27.709491,30.285384
63,27.707639,30.282032
66,27.705787,30.278683
69,27.703937,30.275337
3,27.744838,30.349563
6,27.742970,30.346162
9,27.741103,30.342763
12,27.739237,30.339367
15,27.737372,30.335973
18,27.735508,30.332582
21,27.733645,30.329194
24,27.731782,30.325808
27,27.729920,30.322425
30,27.728059,30.319044
33,27.726198,30.315667
36,27.724339,30.312291
39,27.722480,30.308919
42,27.720622,30.305549
45,27.718765,30.302182
48,27.716909,30.298817
51,27.715053,30.295455
54,27.713199,30.292095
57,27.711345,30.288738
60,27.709491,30.285384
63,27.707639,30.282032
66,27.705787,30.278683
69,27.703937,30.275337
72,27.702087,30.271993
3,27.744838,30.349563
6,27.742970,30.346162
9,27.741103,30.342763
12,27.739237,30.339367
15,27.737372,30.335973
18,27.735508,30.332582
21,27.733645,30.329194
24,27.731782,30.325808
27,27.729920,30.322425
30,27.728059,30.319044
33,27.726198,30.315667
36,27.724339,30.312291
39,27.722480,30.308919
42,27.720622,30.305549
45,27.718765,30.302182
48,27.716909,30.298817
51,27.715053,30.295455
54,27.713199,30.292095
57,27.711345,30.288738
60,27.709491,30.285384
63,27.707639,30.282032
66,27.705787,30.278683
69,27.703937,30.275337
72,27.702087,30.271993
75,27.700237,30.268651
3,27.744838,30.349563
6,27.742970,30.346162
9,27.741103,30.342763
12,27.739237,30.339367
15,27.737372,30.335973
18,27.735508,30.332582
21,27.733645,30.329194
24,27.731782,30.325808
27,27.729920,30.322425
30,27.728059,30.319044
33,27.726198,30.315667
36,27.724339,30.312291
39,27.722480,30.308919
42,27.720622,30.305549
45,27.718765,30.302182
48,27.716909,30.298817
51,27.715053,30.295455
54,27.713199,30.292095
57,27.711345,30.288738
60,27.709491,30.285384
63,27.707639,30.282032
66,27.705787,30.278683
69,27.703937,30.275337
72,27.702087,30.271993
75,27.700237,30.268651
78,27.698389,30.265312
3,27.744838,30.349563
6,27.742970,30.346162
9,27.741103,30.342763
12,27.739237,30.339367
15,27.737372,30.335973
18,27.735508,30.332582
21,27.733645,30.329194
24,27.731782,30.325808
27,27.729920,30.322425
30,27.728059,30.319044
33,27.726198,30.315667
36,27.724339,30.312291
39,27.722480,30.308919
42,27.720622,30.305549
45,27.718765,30.302182
48,27.716909,30.298817
51,27.715053,30.295455
54,27.713199,30.292095
57,27.711345,30.288738
60,27.709491,30.285384
63,27.707639,30.282032
66,27.705787,30.278683
69,27.703937,30.275337
72,27.702087,30.271993
75,27.700237,30.268651
78,27.698389,30.265312
81,27.696541,30.261976
